; --- Settings ---
; Action on detect:	Ask after scan
; Scan objects:	All objects
; Use iChecker:	Yes
; Use iSwift:	Yes
; Try disinfect:	Yes
; Try delete:	Yes
; Try delete container:	No
; Exclude by mask:	No
; Include by mask:	No
; Objects to scan:	
; 	"J:\GHO\"	Enable = Yes	Recursive = Yes
; 	"J:\HSL.xlsx"	Enable = Yes	Recursive = No
; 	"J:\Prj_Name.xlsx"	Enable = Yes	Recursive = No
; 	"J:\SamsungDwn\"	Enable = Yes	Recursive = Yes
; 	"J:\Software\"	Enable = Yes	Recursive = Yes
; 	"J:\System Volume Information\"	Enable = Yes	Recursive = Yes
; 	"J:\Tool\"	Enable = Yes	Recursive = Yes
; 	"J:\UHD Content\"	Enable = Yes	Recursive = Yes
; 	"J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar"	Enable = Yes	Recursive = No
; 	"J:\diskgeniuslsdwjzyb3264w.zip"	Enable = Yes	Recursive = No
; ------------------
2019-05-09 17:16:30	Scan_Objects$5124         starting   1%         
2019-05-09 17:16:30	Scan_Objects$5124         running    1%         
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/ZD1211BU.CAT	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/stacfg00.cpl	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/11gAdapter.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Air/AirLnc54.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Air/AirUsbFw.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/arusb_xp.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Roam/cb500ag.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/otr/CVN3AB.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/net5210b.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/otr/net5211.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Dual/b/net5211.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/HP/net5211.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Dual/NET5211.INF	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/net5211.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/net5211.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/A/NET5523.INF	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/B/net5523.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/5005xx/netathrusb.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/USB/AR7010/netathur.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/Dell/netathw.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/OEM/HP/netathw.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/netathw.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/A_Public/netathw_add.inf	password protected
2019-05-09 17:17:53	J:\[WinXP.x86]Easy_DriverPacks_5.07Beta.rar//[WinXP.x86]Easy_DriverPacks_5.07Beta\[WinXP.x86]Drivers\Wlan\Atheros.7z//Atheros/TP-Link/TIACXLN.INF	password protected
